date,rot_num_away_team,away_team_name,rot_num_home_team,home_team_name,away_team_runline_open,away_team_runline_open_odds,home_team_runline_open,home_team_runline_open_odds,away_team_runline_close,away_team_runline_close_odds,home_team_runline_close,home_team_runline_close_odds,away_team_moneyline_open,home_team_moneyline_open,away_team_moneyline_close,home_team_moneyline_close,over_open,over_open_odds,under_open,under_open_odds,over_close,over_close_odds,under_close,under_close_odds
Fri Jun 03,909,Padres,910,Brewers,+1.5,-190,-1.5,-190,+1.5,-135,-1.5,+165,+115,-135,+150,-135,o7,-105,u7,-115,o7.5,+100,u6.5,+100
Fri Jun 03,925,Astros,926,Royals,-1.5,+125,+1.5,+125,-1.5,+130,+1.5,+110,-135,+115,-124,+170,o8.5,-105,u8.5,-115,o9.5,-105,u8.5,+105
Fri Jun 03,911,Braves,912,Rockies,-1.5,-115,+1.5,-115,-1.5,-105,+1.5,+100,-170,+150,-175,+160,o11,-105,u11,-115,o11.5,+100,u11,-105
Fri Jun 03,927,Red Sox,928,Athletics,-1.5,+130,+1.5,+130,-2.5,+165,+1.5,-110,-135,+115,-150,+155,o7,-110,u7,-110,o7.5,+100,u7,+102
Fri Jun 03,913,Mets,914,Dodgers,+1.5,-150,-1.5,-150,+1.5,-145,-1.5,+138,+135,-155,+140,-150,o8.5,-110,u8.5,-110,o8.5,-105,u8,+100
Thu Jun 02,973,Angels,974,Yankees,+1,-125,-1,-125,+4.5,+460,-1.5,+176,+120,-143,+102,-115,o7.5,-110,u7.5,-110,o7.5,+105,u7.5,-110
Thu Jun 02,963,Twins,964,Tigers,-1.5,+115,+1.5,+115,-1.5,+132,+1.5,-135,-145,+125,-134,+120,o8,-115,u8,-105,o9.5,+115,u8.5,+100
Thu Jun 02,965,Rays,966,Rangers,-1.5,+135,+1.5,+135,-1.5,+133,-1.5,+215,-125,+105,-126,+112,o9,-105,u9,-115,o8.5,-105,u8.5,-105
Thu Jun 02,967,White Sox,968,Blue Jays,+1.5,-135,-1.5,-135,+4.5,+650,-2.5,+165,+145,-165,+160,-175,o8.5,-110,u8.5,-110,o8.5,+100,u8,-103
Thu Jun 02,953,Giants,954,Marlins,+1,-125,-1,-125,-1.5,+185,-1.5,+160,+120,-139,+126,-135,o7,-118,u7,-100,o7.5,+115,u6.5,+104
Thu Jun 02,951,Nationals,952,Reds,+1.5,-190,-1.5,-190,+6.5,+350,-1.5,+148,+100,-120,+120,-130,o9,-110,u9,-110,o10,-103,u9.5,-105
Thu Jun 02,971,Angels,972,Yankees,+1.5,-170,-1.5,-170,+1.5,-146,-1.5,+135,-105,-115,+132,-150,o7,-115,u7,-105,o8.5,-108,u8.5,+100
Thu Jun 02,969,Mariners,970,Orioles,-1.5,+140,+1.5,+140,-1.5,+150,+1.5,-160,-120,+100,-106,-104,o9,-105,u9,-115,o9.5,+100,u9,+110
Thu Jun 02,955,Padres,956,Brewers,+1.5,-195,-1.5,-195,-1.5,+150,-1.5,+175,+100,-120,-108,-105,o8,100,u8,-120,o8,-110,u8,-103
Thu Jun 02,957,Cardinals,958,Cubs,-1.5,+162,+1.5,+162,-1.5,+155,+1.5,-170,-110,-110,-108,-105,o8.5,-102,u8.5,-120,o8.5,-105,u8.5,+100
Thu Jun 02,959,Braves,960,Rockies,-1.5,+115,+1.5,+115,-1.5,+100,+1.5,-114,-135,+115,-150,+140,o11,100,u11,-120,o12,-105,u11.5,+100
Thu Jun 02,961,Mets,962,Dodgers,+1.5,-138,-1.5,-138,+1.5,-122,-1.5,+115,+135,-161,+165,-180,o8.5,-114,u8.5,-106,o9,+100,u8.5,+100
